genus,plot_colors
Navicula,#AF75CE
Cylindrotheca,#ECEAC5
Nitzschia,#ABC0D4
Pseudogomphonema,#E5C8BB
Minidiscus,#73C8CD
Thalassiosira,#C66FA0
Odontella,#C5916F
Haslea,#BCE9BD
Parlibellus,lightcoral
Pleurosigma,#706EC4
Amphora,#DD9FD7
Tabularia,#73CA6F
Chaetoceros,aquamarine
Skeletonema,lightsalmon3
Seminavis,darkseagreen1
Licmophora,deeppink3
Extubocellulus,olivedrab
Tryblionella,coral4
Hyalodiscus,slateblue2
Others,grey90
