genus,plot_colors
Tabularia,#73CA6F
Cocconeis,plum3
Navicula,#AF75CE
Pariraphis,lightsteelblue1
Pseudonitzschia,lightgoldenrod3
Gomphonemopsis,#7ABB9B
Rhoicosphenia,darkorange3
Skeletonema,lightsalmon3
Cylindrotheca,#ECEAC5
Planothidium,coral
Minidiscus,#73C8CD
Pseudogomphonema,#E5C8BB
Thalassiosira,#C66FA0
Nitzschia,#ABC0D4
Halamphora,darkred
Plagiotropis,hotpink4
Achnanthes,yellow3
Amphora,midnightblue
Coscinodiscus,lightpink1
Others,grey90
