genus,plot_colors
Tabularia,#73CA6F
Navicula,#AF75CE
Odontella,#C5916F
Cylindrotheca,#ECEAC5
Nitzschia,#ABC0D4
Thalassiosira,#C66FA0
Achnanthidium,#DDCDE3
Melosira,#C96C69
Pleurosigma,#706EC4
Stauroneis,#7395C3
Bacillaria,#E5C8BB
Amphora,midnightblue
Proschkinia,indianred1
Hyalodiscus,slateblue2
Skeletonema,lightsalmon3
Placoneis,darkolivegreen3
Phaeodactylum,#C1AE76
Fistulifera,springgreen3
Licmophora,deeppink3
Others,grey90
