genus,plot_colors
Navicula,#AF75CE
Cylindrotheca,#ECEAC5
Nitzschia,#ABC0D4
Pseudogomphonema,#E5C8BB
Minidiscus,#73C8CD
Thalassiosira,#C66FA0
Haslea,cadetblue4
Odontella,#C5916F
Pleurosigma,#706EC4
Tabularia,#73CA6F
Chaetoceros,darkblue
Amphora,midnightblue
Skeletonema,lightsalmon3
Parlibellus,mediumpurple4
Podosira,khaki4
Licmophora,deeppink3
Seminavis,coral4
Hyalodiscus,slateblue2
Gedaniella,lavenderblush4
Others,grey90
