genus,plot_colors
Tabularia,#73CA6F
Navicula,#AF75CE
Odontella,#C5916F
Cylindrotheca,#ECEAC5
Nitzschia,#ABC0D4
Thalassiosira,#C66FA0
Achnanthidium,#DDCDE3
Pleurosigma,#706EC4
Melosira,#C96C69
Stauroneis,#7395C3
Bacillaria,#E5C8BB
Amphora,#DD9FD7
Hyalodiscus,slateblue2
Skeletonema,lightsalmon3
Placoneis,#C4E6E3
Phaeodactylum,#C1AE76
Fistulifera,#7ABB9B
Licmophora,deeppink3
Others,grey90
