Location,Kingdom,Phylum,Class,Order,Family,Genus,Species
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Marinoscillum,Marinoscillum
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Maritimimonas,Maritimimonas
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Marixanthomonas,Marixanthomonas
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia
MH Harbour Seagrass Medow,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,MB11C04_marine_group,MB11C04_marine_group
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Fokiniaceae,MD3-55,MD3-55
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,Methylobacterium-Methylorubrum
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,Methyloceanibacter,Methyloceanibacter
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,Methylophagaceae,Methylophagaceae
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylophilaceae,Methylophilaceae
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera,Methylotenera
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,Micavibrionaceae,Micavibrionaceae
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionales,Micavibrionales,Micavibrionales
MH Harbour Seagrass Medow,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Microtrichaceae,Microtrichaceae
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Milano-WF1B-44,Milano-WF1B-44,Milano-WF1B-44,Milano-WF1B-44
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Moritellaceae,Moritella,Moritella
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Nitrincolaceae,Nitrincolaceae
MH Harbour Seagrass Medow,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Ilumatobacter,nonamiensis
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Nonlabens,Nonlabens
