well_under_represented,Genus,num_ref_seq,avg_r_mismatches
high_illumina,Navicula,95,0.6
high_illumina,Cylindrotheca,31,1.4
high_illumina,Nitzschia,182,1.2
high_illumina,Pseudogomphonema,1,2
high_illumina,Minidiscus,1,2
under_represented,Cocconeis,12,0.5
under_represented,Tabularia,3,3
under_represented,Gomphonemopsis,2,2
under_represented,Planothidium,19,0.5
under_represented,Halamphora,72,0.4
